OBJECTID,AspenRank,ACRES,Comment,Shape_STAr,Shape_STLe
"4806",S1,0.0285576,Vegetation,1243.96679688000,148.41399370600
"4807",S1,2.1972830,Vegetation,95713.26562500000,1377.28270499000
"4808",S1,5.4952157,Vegetation,239370.64062500000,5372.78293273000
"4809",S1,0.6698999,Vegetation,29180.72558590000,813.97892257800
"4810",S1,0.0195084,Vegetation,849.78417968800,118.18148999000
"4811",S1,0.0168954,Vegetation,735.95996093800,155.39369706400
"4812",S1,0.0124518,Vegetation,542.39843750000,138.29979819200
"4813",S1,5.0179221,Vegetation,218579.81542999999,2489.79070609000
"4814",S1,11.4078388,Vegetation,496923.47265600000,7248.19916122000
"4815",S1,1.7598962,Vegetation,76660.77441410000,1358.01387016000
"4816",S1,2.2307348,Vegetation,97170.42285160000,1934.14472320000
"4817",S1,0.0267746,Vegetation,1166.29589844000,162.11815806400
"4818",S1,1.3636990,Vegetation,59404.87109380000,1114.40173887000
"4819",S1,0.0548891,Vegetation,2396.32910156000,274.38500858600
"4820",S1,1.8274877,Vegetation,79605.04492190000,1222.61714836000
"4821",S1,0.0870361,Vegetation,3791.27734375000,352.10069598400
"4822",S1,2.7559876,Vegetation,120059.10351600000,1747.88333471000
"4823",S1,0.2544122,Vegetation,11089.05957030000,587.37072659000
"4824",S1,0.0063981,Vegetation,278.69921875000,141.63566361000
"4825",S1,0.0154634,Vegetation,673.58593750000,133.26941275400
"4826",S1,0.1078473,Vegetation,4697.81250000000,265.68691292400
"4827",S1,0.6006317,Vegetation,26163.40917970000,781.66745432100
"4828",S1,0.4647343,Vegetation,20247.02734380000,826.36673025400
"4829",S1,1.7337772,Vegetation,75523.02441410000,1545.41243914000
"4830",S1,1.2875017,Vegetation,56083.34960940000,1314.69823969000
"4831",S1,0.0080101,Vegetation,348.91992187500,89.24797336580
"4832",S1,0.0307088,Vegetation,1340.11035156000,322.11882827400
"4833",S1,0.4400171,Vegetation,19170.81152340000,746.64678696900
